instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,datetime
74,2011-01-04,1.0,0.0,1,5,0,2,1.0,1.0,-5597.240000000001,-27212.356,680000.0,31429.7335,0,4,4.0,2011-01-04 05:00:00
75,2011-01-04,1.0,0.0,1,6,0,2,1.0,1.0,-5597.240000000001,-27212.356,740000.0,31429.7335,0,36,36.0,2011-01-04 06:00:00
76,2011-01-04,1.0,0.0,1,7,0,2,1.0,1.0,-5597.240000000001,-27212.356,740000.0,40392.4709,2,92,94.0,2011-01-04 07:00:00
77,2011-01-04,1.0,0.0,1,8,0,2,1.0,1.0,-3520.779999999998,-27212.356,690000.0,49385.2846,2,177,179.0,2011-01-04 08:00:00
78,2011-01-04,1.0,0.0,1,9,0,2,1.0,1.0,-1444.319999999999,-27212.356,640000.0,67340.8357,2,98,100.0,2011-01-04 09:00:00
79,2011-01-04,1.0,0.0,1,10,0,2,1.0,2.0,-1444.319999999999,-31553.5456,690000.0,98770.5692,5,37,42.0,2011-01-04 10:00:00
80,2011-01-04,1.0,0.0,1,11,0,2,1.0,1.0,4785.06,-9790.098399999992,510000.0,89777.7555,7,50,57.0,2011-01-04 11:00:00
81,2011-01-04,1.0,0.0,1,12,0,2,1.0,1.0,4785.06,-5420.159200000002,510000.0,49385.2846,12,66,78.0,2011-01-04 12:00:00
82,2011-01-04,1.0,0.0,1,13,0,2,1.0,1.0,6861.52,-5420.159200000002,560000.0000000001,58348.022,18,79,97.0,2011-01-04 13:00:00
83,2011-01-04,1.0,0.0,1,14,0,2,1.0,1.0,8937.980000000001,3290.9695999999985,520000.0,67340.8357,9,54,63.0,2011-01-04 14:00:00
84,2011-01-04,1.0,0.0,1,15,0,2,1.0,1.0,11014.440000000004,7632.159200000005,520000.0,76303.5731,17,48,65.0,2011-01-04 15:00:00
85,2011-01-04,1.0,0.0,1,16,0,2,1.0,1.0,13090.9,12002.098400000004,490000.0,76303.5731,15,68,83.0,2011-01-04 16:00:00
86,2011-01-04,1.0,0.0,1,17,0,2,1.0,1.0,11014.440000000004,7632.159200000005,480000.0,67340.8357,10,202,212.0,2011-01-04 17:00:00
87,2011-01-04,1.0,0.0,1,18,0,2,1.0,1.0,8937.980000000001,3290.9695999999985,480000.0,58348.022,3,179,182.0,2011-01-04 18:00:00
88,2011-01-04,1.0,0.0,1,19,0,2,1.0,1.0,6861.52,3290.9695999999985,480000.0,31429.7335,2,110,112.0,2011-01-04 19:00:00
89,2011-01-04,1.0,0.0,1,20,0,2,1.0,1.0,6861.52,3290.9695999999985,480000.0,31429.7335,1,53,54.0,2011-01-04 20:00:00
90,2011-01-04,1.0,0.0,1,21,0,2,1.0,1.0,4785.06,7632.159200000005,640000.0,0.0,0,48,48.0,2011-01-04 21:00:00
91,2011-01-04,1.0,0.0,1,22,0,2,1.0,1.0,4785.06,3290.9695999999985,640000.0,26948.3648,1,34,35.0,2011-01-04 22:00:00
92,2011-01-04,1.0,0.0,1,23,0,2,1.0,1.0,2708.6000000000004,-5420.159200000002,690000.0,26948.3648,2,9,11.0,2011-01-04 23:00:00
93,2011-01-05,1.0,0.0,1,0,0,3,1.0,1.0,2708.6000000000004,3290.9695999999985,640000.0,0.0,0,6,6.0,2011-01-05 00:00:00
94,2011-01-05,1.0,0.0,1,1,0,3,1.0,1.0,-1444.319999999999,-14131.288,740000.0,26948.3648,0,6,6.0,2011-01-05 01:00:00
95,2011-01-05,1.0,0.0,1,2,0,3,1.0,1.0,-1444.319999999999,-14131.288,740000.0,26948.3648,0,2,2.0,2011-01-05 02:00:00
96,2011-01-05,1.0,0.0,1,4,0,3,1.0,1.0,6861.52,-5420.159200000002,480000.0,67340.8357,0,2,2.0,2011-01-05 04:00:00
97,2011-01-05,1.0,0.0,1,5,0,3,1.0,1.0,4785.06,-5420.159200000002,470000.0,49385.2846,0,3,3.0,2011-01-05 05:00:00
98,2011-01-05,1.0,0.0,1,6,0,3,1.0,1.0,2708.6000000000004,-14131.288,470000.0,67340.8357,0,33,33.0,2011-01-05 06:00:00
99,2011-01-05,1.0,0.0,1,7,0,3,1.0,1.0,632.1399999999979,-18501.227200000005,430000.0,58348.022,1,87,88.0,2011-01-05 07:00:00
100,2011-01-05,1.0,0.0,1,8,0,3,1.0,1.0,2708.6000000000004,-18501.227200000005,400000.0,89777.7555,3,192,195.0,2011-01-05 08:00:00
101,2011-01-05,1.0,0.0,1,9,0,3,1.0,1.0,4785.06,-14131.288,370000.0,98770.5692,6,109,115.0,2011-01-05 09:00:00
102,2011-01-05,1.0,0.0,1,10,0,3,1.0,1.0,4785.06,-14131.288,370000.0,98770.5692,4,53,57.0,2011-01-05 10:00:00
103,2011-01-05,1.0,0.0,1,11,0,3,1.0,1.0,8937.980000000001,-5420.159200000002,330000.0,98770.5692,12,34,46.0,2011-01-05 11:00:00
104,2011-01-05,1.0,0.0,1,12,0,3,1.0,1.0,8937.980000000001,-5420.159200000002,330000.0,98770.5692,5,74,79.0,2011-01-05 12:00:00
105,2011-01-05,1.0,0.0,1,13,0,3,1.0,1.0,11014.440000000004,3290.9695999999985,300000.0,89777.7555,6,65,71.0,2011-01-05 13:00:00
106,2011-01-05,1.0,0.0,1,14,0,3,1.0,1.0,13090.9,12002.098400000004,280000.00000000006,58348.022,10,52,62.0,2011-01-05 14:00:00
107,2011-01-05,1.0,0.0,1,15,0,3,1.0,1.0,13090.9,12002.098400000004,280000.00000000006,58348.022,7,55,62.0,2011-01-05 15:00:00
108,2011-01-05,1.0,0.0,1,16,0,3,1.0,1.0,13090.9,20713.227199999987,280000.00000000006,26948.3648,4,85,89.0,2011-01-05 16:00:00
109,2011-01-05,1.0,0.0,1,17,0,3,1.0,1.0,6861.52,-5420.159200000002,380000.0,58348.022,4,186,190.0,2011-01-05 17:00:00
110,2011-01-05,1.0,0.0,1,18,0,3,1.0,1.0,6861.52,-1078.9695999999992,380000.0,40392.4709,3,166,169.0,2011-01-05 18:00:00
111,2011-01-05,1.0,0.0,1,19,0,3,1.0,1.0,6861.52,3290.9695999999985,380000.0,31429.7335,5,127,132.0,2011-01-05 19:00:00
112,2011-01-05,1.0,0.0,1,20,0,3,1.0,1.0,4785.06,-5420.159200000002,470000.0,49385.2846,7,82,89.0,2011-01-05 20:00:00
113,2011-01-05,1.0,0.0,1,21,0,3,1.0,1.0,2708.6000000000004,-14131.288,510000.0,58348.022,3,40,43.0,2011-01-05 21:00:00
114,2011-01-05,1.0,0.0,1,22,0,3,1.0,1.0,632.1399999999979,-14131.288,550000.0000000001,40392.4709,1,41,42.0,2011-01-05 22:00:00
115,2011-01-05,1.0,0.0,1,23,0,3,1.0,1.0,2708.6000000000004,3290.9695999999985,470000.0,0.0,1,18,19.0,2011-01-05 23:00:00
116,2011-01-06,1.0,0.0,1,0,0,4,1.0,1.0,632.1399999999979,-1078.9695999999992,550000.0000000001,0.0,0,11,11.0,2011-01-06 00:00:00
117,2011-01-06,1.0,0.0,1,1,0,4,1.0,1.0,-1444.319999999999,-5420.159200000002,640000.0,0.0,0,4,4.0,2011-01-06 01:00:00
118,2011-01-06,1.0,0.0,1,2,0,4,1.0,1.0,-1444.319999999999,-5420.159200000002,640000.0,0.0,0,2,2.0,2011-01-06 02:00:00
119,2011-01-06,1.0,0.0,1,4,0,4,1.0,2.0,-1444.319999999999,-14131.288,640000.0,26948.3648,0,1,1.0,2011-01-06 04:00:00
120,2011-01-06,1.0,0.0,1,5,0,4,1.0,2.0,-3520.779999999998,-18501.227200000005,690000.0,26948.3648,0,4,4.0,2011-01-06 05:00:00
121,2011-01-06,1.0,0.0,1,6,0,4,1.0,2.0,-3520.779999999998,-22842.41680000001,630000.0,31429.7335,0,36,36.0,2011-01-06 06:00:00
122,2011-01-06,1.0,0.0,1,7,0,4,1.0,2.0,-1444.319999999999,-5420.159200000002,590000.0,0.0,0,95,95.0,2011-01-06 07:00:00
123,2011-01-06,1.0,0.0,1,8,0,4,1.0,1.0,-1444.319999999999,-5420.159200000002,590000.0,0.0,3,216,219.0,2011-01-06 08:00:00
124,2011-01-06,1.0,0.0,1,9,0,4,1.0,2.0,632.1399999999979,-1078.9695999999992,510000.0,0.0,6,116,122.0,2011-01-06 09:00:00
125,2011-01-06,1.0,0.0,1,10,0,4,1.0,1.0,2708.6000000000004,3290.9695999999985,470000.0,0.0,3,42,45.0,2011-01-06 10:00:00
126,2011-01-06,1.0,0.0,1,11,0,4,1.0,1.0,4785.06,3290.9695999999985,440000.0,26948.3648,2,57,59.0,2011-01-06 11:00:00
127,2011-01-06,1.0,0.0,1,12,0,4,1.0,1.0,8937.980000000001,12002.098400000004,350000.0,0.0,6,78,84.0,2011-01-06 12:00:00
128,2011-01-06,1.0,0.0,1,13,0,4,1.0,1.0,8937.980000000001,7632.159200000005,350000.0,31429.7335,12,55,67.0,2011-01-06 13:00:00
129,2011-01-06,1.0,0.0,1,14,0,4,1.0,1.0,11014.440000000004,7632.159200000005,360000.0,49385.2846,11,59,70.0,2011-01-06 14:00:00
130,2011-01-06,1.0,0.0,1,15,0,4,1.0,1.0,11014.440000000004,7632.159200000005,360000.0,0.0,8,54,62.0,2011-01-06 15:00:00
131,2011-01-06,1.0,0.0,1,16,0,4,1.0,1.0,8937.980000000001,3290.9695999999985,380000.0,49385.2846,12,74,86.0,2011-01-06 16:00:00
132,2011-01-06,1.0,0.0,1,17,0,4,1.0,1.0,4785.06,-5420.159200000002,510000.0,49385.2846,9,163,172.0,2011-01-06 17:00:00
133,2011-01-06,1.0,0.0,1,18,0,4,1.0,1.0,4785.06,-5420.159200000002,510000.0,40392.4709,5,158,163.0,2011-01-06 18:00:00
134,2011-01-06,1.0,0.0,1,19,0,4,1.0,1.0,4785.06,3290.9695999999985,550000.0000000001,26948.3648,3,109,112.0,2011-01-06 19:00:00
135,2011-01-06,1.0,0.0,1,20,0,4,1.0,1.0,2708.6000000000004,-9790.098399999992,510000.0,49385.2846,3,66,69.0,2011-01-06 20:00:00
136,2011-01-06,1.0,0.0,1,21,0,4,1.0,2.0,4785.06,-9790.098399999992,550000.0000000001,67340.8357,0,48,48.0,2011-01-06 21:00:00
137,2011-01-06,1.0,0.0,1,22,0,4,1.0,2.0,4785.06,-9790.098399999992,510000.0,85296.38680000001,1,51,52.0,2011-01-06 22:00:00
138,2011-01-06,1.0,0.0,1,23,0,4,1.0,2.0,2708.6000000000004,-14131.288,590000.0,58348.022,4,19,23.0,2011-01-06 23:00:00
139,2011-01-07,1.0,0.0,1,0,0,5,1.0,2.0,2708.6000000000004,-14131.288,640000.0,58348.022,4,13,17.0,2011-01-07 00:00:00
140,2011-01-07,1.0,0.0,1,1,0,5,1.0,2.0,2708.6000000000004,-14131.288,690000.0,67340.8357,2,5,7.0,2011-01-07 01:00:00
141,2011-01-07,1.0,0.0,1,2,0,5,1.0,2.0,2708.6000000000004,-14131.288,690000.0,67340.8357,0,1,1.0,2011-01-07 02:00:00
142,2011-01-07,1.0,0.0,1,4,0,5,1.0,2.0,2708.6000000000004,-9790.098399999992,690000.0,40392.4709,0,1,1.0,2011-01-07 04:00:00
143,2011-01-07,1.0,0.0,1,5,0,5,1.0,3.0,4785.06,7632.159200000005,550000.0000000001,0.0,0,5,5.0,2011-01-07 05:00:00
144,2011-01-07,1.0,0.0,1,6,0,5,1.0,2.0,2708.6000000000004,3290.9695999999985,690000.0,0.0,8,26,34.0,2011-01-07 06:00:00
145,2011-01-07,1.0,0.0,1,7,0,5,1.0,1.0,2708.6000000000004,-9790.098399999992,690000.0,40392.4709,8,76,84.0,2011-01-07 07:00:00
146,2011-01-07,1.0,0.0,1,8,0,5,1.0,1.0,2708.6000000000004,-14131.288,510000.0,76303.5731,20,190,210.0,2011-01-07 08:00:00
147,2011-01-07,1.0,0.0,1,9,0,5,1.0,1.0,2708.6000000000004,-18501.227200000005,470000.0,89777.7555,9,125,134.0,2011-01-07 09:00:00
148,2011-01-07,1.0,0.0,1,10,0,5,1.0,1.0,4785.06,-14131.288,370000.0,98770.5692,16,47,63.0,2011-01-07 10:00:00
149,2011-01-07,1.0,0.0,1,11,0,5,1.0,2.0,2708.6000000000004,-14131.288,400000.0,67340.8357,19,48,67.0,2011-01-07 11:00:00
150,2011-01-07,1.0,0.0,1,12,0,5,1.0,2.0,2708.6000000000004,-14131.288,370000.0,76303.5731,9,50,59.0,2011-01-07 12:00:00
151,2011-01-07,1.0,0.0,1,13,0,5,1.0,2.0,2708.6000000000004,-18501.227200000005,370000.0,85296.38680000001,9,64,73.0,2011-01-07 13:00:00
152,2011-01-07,1.0,0.0,1,14,0,5,1.0,2.0,2708.6000000000004,-14131.288,400000.0,76303.5731,7,43,50.0,2011-01-07 14:00:00
153,2011-01-07,1.0,0.0,1,15,0,5,1.0,2.0,2708.6000000000004,-9790.098399999992,370000.0,49385.2846,9,63,72.0,2011-01-07 15:00:00
154,2011-01-07,1.0,0.0,1,16,0,5,1.0,2.0,2708.6000000000004,-9790.098399999992,370000.0,49385.2846,5,82,87.0,2011-01-07 16:00:00
155,2011-01-07,1.0,0.0,1,17,0,5,1.0,2.0,2708.6000000000004,3290.9695999999985,370000.0,0.0,9,178,187.0,2011-01-07 17:00:00
156,2011-01-07,1.0,0.0,1,18,0,5,1.0,1.0,2708.6000000000004,-5420.159200000002,400000.0,26948.3648,7,116,123.0,2011-01-07 18:00:00
157,2011-01-07,1.0,0.0,1,19,0,5,1.0,1.0,-1444.319999999999,-14131.288,550000.0000000001,26948.3648,3,92,95.0,2011-01-07 19:00:00
158,2011-01-07,1.0,0.0,1,20,0,5,1.0,1.0,632.1399999999979,-9790.098399999992,470000.0,31429.7335,1,50,51.0,2011-01-07 20:00:00
159,2011-01-07,1.0,0.0,1,21,0,5,1.0,1.0,632.1399999999979,-14131.288,470000.0,40392.4709,0,39,39.0,2011-01-07 21:00:00
160,2011-01-07,1.0,0.0,1,22,0,5,1.0,2.0,632.1399999999979,-14131.288,430000.0,49385.2846,2,34,36.0,2011-01-07 22:00:00
161,2011-01-07,1.0,0.0,1,23,0,5,1.0,2.0,632.1399999999979,-14131.288,510000.0,49385.2846,1,14,15.0,2011-01-07 23:00:00
162,2011-01-08,1.0,0.0,1,0,0,6,0.0,2.0,632.1399999999979,-14131.288,510000.0,49385.2846,1,24,25.0,2011-01-08 00:00:00
163,2011-01-08,1.0,0.0,1,1,0,6,0.0,2.0,632.1399999999979,-9790.098399999992,550000.0000000001,26948.3648,1,15,16.0,2011-01-08 01:00:00
164,2011-01-08,1.0,0.0,1,2,0,6,0.0,2.0,632.1399999999979,-1078.9695999999992,550000.0000000001,0.0,3,13,16.0,2011-01-08 02:00:00
165,2011-01-08,1.0,0.0,1,3,0,6,0.0,3.0,632.1399999999979,-14131.288,550000.0000000001,49385.2846,0,7,7.0,2011-01-08 03:00:00
166,2011-01-08,1.0,0.0,1,4,0,6,0.0,3.0,632.1399999999979,-14131.288,550000.0000000001,49385.2846,0,1,1.0,2011-01-08 04:00:00
167,2011-01-08,1.0,0.0,1,5,0,6,0.0,2.0,-1444.319999999999,-22842.41680000001,740000.0,49385.2846,0,5,5.0,2011-01-08 05:00:00
168,2011-01-08,1.0,0.0,1,6,0,6,0.0,2.0,-1444.319999999999,-22842.41680000001,740000.0,49385.2846,0,2,2.0,2011-01-08 06:00:00
169,2011-01-08,1.0,0.0,1,7,0,6,0.0,2.0,-1444.319999999999,-18501.227200000005,740000.0,31429.7335,1,8,9.0,2011-01-08 07:00:00
170,2011-01-08,1.0,0.0,1,8,0,6,0.0,3.0,-1444.319999999999,-18501.227200000005,930000.0,31429.7335,0,15,15.0,2011-01-08 08:00:00
171,2011-01-08,1.0,0.0,1,9,0,6,0.0,3.0,-1444.319999999999,-18501.227200000005,930000.0,31429.7335,0,20,20.0,2011-01-08 09:00:00
172,2011-01-08,1.0,0.0,1,10,0,6,0.0,2.0,632.1399999999979,-14131.288,800000.0,49385.2846,5,56,61.0,2011-01-08 10:00:00
173,2011-01-08,1.0,0.0,1,11,0,6,0.0,2.0,2708.6000000000004,-18501.227200000005,690000.0,116726.1203,2,60,62.0,2011-01-08 11:00:00
